date,state,city,school,longitude,latitude,link,iglink
March 14,Virginia,Stafford,Colonial Forge High School,-77.4508901,38.4346596,https://www.facebook.com/events/220335188528377/,https://www.instagram.com/explore/locations/236533790/colonial-forge-high-school/
March 14,Virginia,Staunton,R.E. Lee High School,-79.0532921,38.1648669,https://www.facebook.com/events/161112251210967/,https://www.instagram.com/explore/locations/1706976972906839/re-lee-high-school/
March 14,Washington,Bellevue,Bellevue High School,-122.198703,47.6041425,https://actionnetwork.org/events/enough-national-school-walkout-101?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/524977011019392/bellevue-high-school/
March 14,Washington,Bellevue,Interlake High School,-122.124041,47.628934,https://actionnetwork.org/events/interlake-high-school-national-school-walkout-enough?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/413544/interlake-high-school/
March 14,Washington,Bellevue,International School,-122.1712904,47.6042005,https://actionnetwork.org/events/international-school-bellevue-participates-in-the-national-school-walkout?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/434597910/international-school/
March 14,Washington,Bellevue,Newport High School,-122.1722352,47.5679585,https://actionnetwork.org/events/enough-national-school-walkout-newport-hs?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/234708504/newport-high-school/
March 14,Washington,Bellingham,Whatcom Community College,-122.4927431,48.7946887,https://actionnetwork.org/events/enough-whatcom-community-college-walkout?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/1110740/whatcom-community-college/
March 14,Washington,Bothell,Bothell High School,-122.2192398,47.760959,https://actionnetwork.org/events/bhs-walkout-3?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/221636169/bothell-high-school/
March 14,Washington,Bothell,Birmingham,-122.1826917,47.8241371,https://www.facebook.com/events/225842161319625/,FALSE
March 14,Washington,Camas,Camas High School,-122.3982092,45.6122901,https://actionnetwork.org/events/never-again-student-walkout-at-camas-high-school?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/1962641/camas-high-school/
March 14,Washington,Carnation,Riverview Learning Center,-121.9077479,47.6515423,https://actionnetwork.org/events/riverview-learning-center-walkout?referrer=&source=&email_referrer=&can_id=,FALSE
March 14,Washington,College Place,Walla Walla University,-118.3906389,46.0464496,https://actionnetwork.org/events/enough-national-school-walkout-walla-walla-university?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/2271490/walla-walla-university/
March 14,Washington,Coupeville,Coupeville High School,-122.6847552,48.2064233,https://actionnetwork.org/events/enough-high-school-walkout-coupeville?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/769948403/coupeville-high-school/
March 14,Washington,Deming,Mount Baker High School,-122.2219458,48.8254489,https://actionnetwork.org/events/mbhs-march-for-our-lives?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/845998412/mount-baker-senior-high/
March 14,Washington,Duvall,Cedarcrest High School,-121.9513861,47.736396,https://actionnetwork.org/events/national-school-walkout-12?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/250323751/cedarcrest-high-school/
March 14,Washington,Eastsound,Orcas Island School District,-122.902561,48.699093,https://actionnetwork.org/events/school-walkout-orcas-island-high-school?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/429611461/orcas-island-school-district/
March 14,Washington,Edmonds,Edmonds Woodway High School,-122.3377965,47.8050183,https://actionnetwork.org/events/ewhs-walkout?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/353188/edmonds-woodway-high-school/
March 14,Washington,Ellensburg,Ellensburg Indivisible,,,https://actionnetwork.org/events/walkout-against-school-vioelnce?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/226270683/ellensburg-washington/
March 14,Washington,Everett,Explorer Middle School,-122.2479307,47.9109158,https://actionnetwork.org/events/ems-walkout?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/744583578/explorer-middle-school/
March 14,Washington,Everett,Mariner High School,-122.2363741,47.887831,https://actionnetwork.org/events/ems-walkout?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/237668505/mariner-high-school/
March 14,Washington,Everett,Snohomish County,-122.2020795,47.9789848,https://actionnetwork.org/events/enough-students-families-against-gun-violence-womens-march-everett-wa-snoco-group?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/252163541/snohomish-county-courthouse/
